date,time,consumption,prediction
2015-06-11,13:30,33532,33180.16574382782
2015-06-11,13:40,33335,33469.99799823761
2015-06-11,13:50,33116,33353.732416152954
2015-06-11,14:00,32594,33040.18055534363
2015-06-11,14:10,32297,32620.862429618835
2015-06-11,14:20,32252,32256.44841003418
2015-06-11,14:30,31882,32017.530995368958
2015-06-11,14:40,31944,31693.377089500427
2015-06-11,14:50,31748,31757.762453079224
2015-06-11,15:00,31201,31616.324586868286
2015-06-11,15:10,31395,31137.00152015686
2015-06-11,15:20,31300,31175.333510398865
2015-06-11,15:30,31281,31191.019268989563
2015-06-11,15:40,31131,31220.927572250366
2015-06-11,15:50,31242,31059.35635662079
2015-06-11,16:00,30973,31085.397876739502
2015-06-11,16:10,31230,30999.444924354553
2015-06-11,16:20,31416,31136.033507347107
2015-06-11,16:30,31265,31449.78950691223
2015-06-11,16:40,31230,31268.113916397095
2015-06-11,16:50,31227,31267.519938468933
2015-06-11,17:00,31181,31244.321873664856
2015-06-11,17:10,31344,31220.014874458313
2015-06-11,17:20,31360,31327.427419662476
2015-06-11,17:30,31288,31300.491640090942
2015-06-11,17:40,31382,31292.635590553284
2015-06-11,17:50,31431,31344.32088947296
2015-06-11,18:00,31013,31485.1120967865
2015-06-11,18:10,31155,31111.85689353943
2015-06-11,18:20,30963,31083.2919549942
2015-06-11,18:30,31015,30897.723240852356
2015-06-11,18:40,31101,30909.285396575928
2015-06-11,18:50,31013,31073.04945755005
2015-06-11,19:00,30725,30943.234330177307
2015-06-11,19:10,30597,30670.24813270569
2015-06-11,19:20,30568,30537.855588912964
2015-06-11,19:30,30357,30544.569778442383
2015-06-11,19:40,30678,30342.55933380127
2015-06-11,19:50,30504,30641.2551612854
2015-06-11,20:00,30342,30555.115191459656
2015-06-11,20:10,30650,30388.29168319702
2015-06-11,20:20,30453,30658.300088882446
2015-06-11,20:30,30324,30570.03971004486
2015-06-11,20:40,30617,30366.43434906006
2015-06-11,20:50,30432,30619.32012271881
2015-06-11,21:00,30337,30409.735471725464
2015-06-11,21:10,30642,30363.012720108032
2015-06-11,21:20,30601,30632.10447692871
2015-06-11,21:30,30548,30737.388710975647
2015-06-11,21:40,30879,30620.672706604004
2015-06-11,21:50,31175,30765.56117630005
2015-06-11,22:00,30770,31040.742853164673
2015-06-11,22:10,30403,30765.638880729675
2015-06-11,22:20,30378,30366.74121570587
2015-06-11,22:30,30063,30324.896721839905
2015-06-11,22:40,29534,29903.294876098633
2015-06-11,22:50,29279,29283.120018959045
2015-06-11,23:00,28757,28878.233186244965
2015-06-11,23:10,28299,28530.48149871826
2015-06-11,23:20,27827,28055.146381378174
2015-06-11,23:30,27497,27520.370009422302
2015-06-11,23:40,27222,27192.586384773254
2015-06-11,23:50,27001,26873.219203472137
2015-06-12,00:00,26531,26600.43516921997
2015-06-12,00:10,26555,26213.372942447662
2015-06-12,00:20,26326,26135.307648181915
2015-06-12,00:30,25988,25994.907597064972
2015-06-12,00:40,25664,25783.841293811798
2015-06-12,00:50,25453,25431.049354553223
2015-06-12,01:00,25026,25208.422871112823
2015-06-12,01:10,24891,24809.43038034439
2015-06-12,01:20,24556,24613.605340003967
2015-06-12,01:30,24368,24268.6885471344
2015-06-12,01:40,23972,24089.56666660309
2015-06-12,01:50,24064,23800.79461669922
2015-06-12,02:00,23755,23726.641872167587
2015-06-12,02:10,23825,23502.164640426636
2015-06-12,02:20,23643,23580.30006623268
2015-06-12,02:30,23305,23510.29792356491
2015-06-12,02:40,23385,23306.063683509827
2015-06-12,02:50,23232,23317.6110227108
2015-06-12,03:00,23172,23161.49854326248
2015-06-12,03:10,23021,23144.89580655098
2015-06-12,03:20,23083,22965.35708785057
2015-06-12,03:30,22729,23020.596705913544
2015-06-12,03:40,22883,22737.529017210007
2015-06-12,03:50,22817,22830.755565166473
2015-06-12,04:00,22949,22833.211156845093
2015-06-12,04:10,22678,22931.164504766464
2015-06-12,04:20,22723,22701.662167072296
2015-06-12,04:30,22745,22704.77396607399
2015-06-12,04:40,22840,22718.3521566391
2015-06-12,04:50,22833,22863.685122013092
2015-06-12,05:00,22847,22907.94108724594
2015-06-12,05:10,23000,22973.81007862091
2015-06-12,05:20,22888,23065.73705291748
2015-06-12,05:30,22776,23049.122133731842
2015-06-12,05:40,23066,23046.36823606491
2015-06-12,05:50,23297,23135.195264577866
2015-06-12,06:00,23746,23419.152273893356
2015-06-12,06:10,24063,24033.162140607834
2015-06-12,06:20,24524,24368.532154083252
2015-06-12,06:30,24848,24895.305628299713
2015-06-12,06:40,24763,25210.752686977386
2015-06-12,06:50,24912,25203.426739692688
2015-06-12,07:00,25180,25375.9075255394
2015-06-12,07:10,26100,25594.013981819153
2015-06-12,07:20,26346,26440.680788517
2015-06-12,07:30,27183,26755.13481092453
2015-06-12,07:40,27677,27367.022951602936
